,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,matchtype,year,not_out
169,11,53,30,2,0,36.66,6,bowled,3, England,Nottingham,2014-07-09,Test,2014,0
170,4,10,7,0,0,57.14,5,not out,1, Sri Lanka,Mirpur,2014-04-06,T20I,2014,1
171,0,3,1,0,0,0.0,6,not out,2, South Africa,Mirpur,2014-04-04,T20I,2014,1
172,24,36,20,1,1,120.0,6,bowled,1, Australia,Mirpur,2014-03-30,T20I,2014,0
173,22,16,12,1,2,183.33,4,not out,2, Bangladesh,Mirpur,2014-03-28,T20I,2014,1
176,68,112,86,9,1,79.06,8,caught,2, New Zealand,Wellington,2014-02-14,Test,2014,0
178,10,44,28,1,0,35.71,7,caught,2, New Zealand,Auckland,2014-02-06,Test,2014,0
179,39,81,41,6,0,95.12,7,bowled,4, New Zealand,Auckland,2014-02-06,Test,2014,0
180,47,79,72,3,0,65.27,6,caught,2,New Zealand,Wellington,2014-01-31,ODI ,2014,0
181,79,111,73,6,3,108.21,5,not out,1,New Zealand,Hamilton,2014-01-28,ODI ,2014,1
182,50,79,60,2,3,83.33,6,caught,2,New Zealand,Auckland,2014-01-25,ODI ,2014,0
183,56,81,44,7,1,127.27,5,caught,2,New Zealand,Hamilton,2014-01-22,ODI ,2014,0
184,40,72,46,2,2,86.95,6,caught,2,New Zealand,Napier,2014-01-19,ODI ,2014,0
185,24,57,40,3,0,60.0,7,caught,1, South Africa,Durban,2013-12-26,Test,2013,0
186,15,47,29,2,0,51.72,7,caught,3, South Africa,Durban,2013-12-26,Test,2013,0
187,19,104,72,3,0,26.38,7,caught,1, South Africa,Johannesburg,2013-12-18,Test,2013,0
188,29,65,44,3,0,65.9,7,caught,3, South Africa,Johannesburg,2013-12-18,Test,2013,0
190,19,43,31,0,0,61.29,6,caught,2,South Africa,Durban,2013-12-08,ODI ,2013,0
191,65,125,71,8,1,91.54,6,bowled,2,South Africa,Johannesburg,2013-12-05,ODI ,2013,0
192,23,48,23,3,0,100.0,6,not out,2,West Indies,Kanpur,2013-11-27,ODI ,2013,1
193,51,61,40,3,4,127.5,6,not out,1,West Indies,Visakhapatnam,2013-11-24,ODI ,2013,1
194,13,14,7,3,0,185.71,6,not out,2,West Indies,Kochi,2013-11-21,ODI ,2013,1
195,4,15,10,0,0,40.0,7,caught,2, West Indies,Wankhede,2013-11-14,Test,2013,0
196,42,77,63,5,0,66.66,7,caught,2, West Indies,Kolkata,2013-11-06,Test,2013,0
197,62,73,38,7,2,163.15,6,run out,1,Australia,Bengaluru,2013-11-02,ODI ,2013,0
198,25,35,23,2,0,108.69,6,not out,2,Australia,Nagpur,2013-10-30,ODI ,2013,1
200,139,169,121,12,5,114.87,6,not out,1,Australia,Mohali,2013-10-19,ODI ,2013,1
202,19,52,22,2,0,86.36,6,bowled,2,Australia,Pune,2013-10-13,ODI ,2013,0
203,24,44,21,2,0,114.28,6,not out,2, Australia,Rajkot,2013-10-10,T20I,2013,1
204,45,98,52,5,2,86.53,6,not out,2,Sri Lanka,Port of Spain,2013-07-11,ODI ,2013,1
205,27,66,35,1,0,77.14,6,bowled,1,West Indies,Kingston,2013-06-30,ODI ,2013,0
206,0,3,4,0,0,0.0,6,caught,1,England,Birmingham,2013-06-23,ODI ,2013,0
210,27,42,26,3,0,103.84,5,caught,1,South Africa,Cardiff,2013-06-06,ODI ,2013,0
211,24,41,23,2,0,104.34,6,caught,2, Australia,Delhi,2013-03-22,Test,2013,0
212,12,20,14,2,0,85.71,6,not out,4, Australia,Delhi,2013-03-22,Test,2013,1
213,4,2,3,1,0,133.33,6,lbw,2, Australia,Mohali,2013-03-14,Test,2013,0
214,18,37,28,3,0,64.28,5,not out,4, Australia,Mohali,2013-03-14,Test,2013,1
215,44,61,43,8,0,102.32,6,caught,2, Australia,Hyderabad (Deccan),2013-03-02,Test,2013,0
216,224,365,265,24,6,84.52,6,caught,2, Australia,Chennai,2013-02-22,Test,2013,0
218,15,38,23,2,0,65.21,6,lbw,1,England,Dharamsala,2013-01-27,ODI ,2013,0
219,19,49,21,2,0,90.47,6,caught,2,England,Mohali,2013-01-23,ODI ,2013,0
220,10,12,12,2,0,83.33,5,not out,2,England,Ranchi,2013-01-19,ODI ,2013,1
221,72,117,66,7,2,109.09,6,caught,1,England,Kochi,2013-01-15,ODI ,2013,0
222,32,54,25,0,4,128.0,6,caught,2,England,Rajkot,2013-01-11,ODI ,2013,0
223,36,77,55,1,3,65.45,6,caught,1,Pakistan,Delhi,2013-01-06,ODI ,2013,0
224,54,121,89,4,1,60.67,6,not out,2,Pakistan,Kolkata,2013-01-03,ODI ,2013,1
225,113,177,125,7,3,90.4,7,not out,1,Pakistan,Chennai,2012-12-30,ODI ,2012,1
226,33,39,23,4,0,143.47,5,bowled,1, Pakistan,Ahmedabad,2012-12-28,T20I,2012,0
227,1,7,2,0,0,50.0,5,bowled,1, Pakistan,Bengaluru,2012-12-25,T20I,2012,0
228,38,23,18,3,2,211.11,7,caught,1, England,Wankhede,2012-12-22,T20I,2012,0
229,24,29,21,2,0,114.28,6,not out,2, England,Pune,2012-12-20,T20I,2012,1
230,99,398,246,8,1,40.24,6,run out,2, England,Nagpur,2012-12-13,Test,2012,0
231,52,158,114,5,2,45.61,7,caught,1, England,Kolkata,2012-12-05,Test,2012,0
232,0,5,3,0,0,0.0,7,caught,3, England,Kolkata,2012-12-05,Test,2012,0
233,29,86,64,4,0,45.31,7,caught,1, England,Wankhede,2012-11-23,Test,2012,0
234,6,15,17,0,0,35.29,7,caught,3, England,Wankhede,2012-11-23,Test,2012,0
235,5,38,37,0,0,13.51,7,bowled,1, England,Ahmedabad,2012-11-15,Test,2012,0
237,23,20,13,3,0,176.92,7,not out,1, South Africa,Colombo (RPS),2012-10-02,T20I,2012,1
239,15,21,21,2,0,71.42,7,caught,1, Australia,Colombo (RPS),2012-09-28,T20I,2012,0
240,9,23,8,1,0,112.5,5,caught,1, England,Colombo (RPS),2012-09-23,T20I,2012,0
241,18,21,9,2,1,200.0,6,not out,1, Afghanistan,Colombo (RPS),2012-09-19,T20I,2012,1
242,22,31,23,2,0,95.65,5,not out,2, New Zealand,Chennai,2012-09-11,T20I,2012,1
